,name,address,price,city,Check_in_date,Check_out_date,Review,Rating,distance to city centre(km),distance to HYD-Rajiv Gandhi Intl(km),Pool,Free parking,Airport transfer,Spa,Restaurant,Gym,Bar,Bathtub,Meeting Facilities,Connecting rooms available,Pet-friendly,Kitchen,Internet access
0,The Park Hyderabad,22 RajBhavan Road Somajiguda Hyderabad Andhra Pradesh 500082 India,5040,Hyderabad,2021-12-02,2021-02-14,,,4.0,20 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
1,The Westin Hyderabad Mindspace,Raheja IT Park Hitec City Madhapur Hyderabad Telangana 500081 India,7800,Hyderabad,2021-12-02,2021-02-14,,,9.9,22 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
2,Courtyard by Marriott Hyderabad,1 3 1024 Lower Tank Bund Road Hyderabad Andhra Pradesh 500001 India,6700,Hyderabad,2021-12-02,2021-02-14,,,4.7,21 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
3,Courtyard by Marriott Hyderabad,1 3 1024 Lower Tank Bund Road Hyderabad Andhra Pradesh 500001 India,6700,Hyderabad,2021-12-02,2021-02-14,,,4.7,21 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
4,Radisson Blu Plaza Hotel Hyderabad Banjara Hills,82409 Road No 6 Banjara Hills Hyderabad Andhra Pradesh 500034 India,6375,Hyderabad,2021-12-02,2021-02-14,Good,7.6,4.5,20 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
5,Taj Deccan,Rd Number 1 Balapur Basthi Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,8000,Hyderabad,2021-12-02,2021-02-14,,,3.8,19 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
6,Taj Deccan,Rd Number 1 Balapur Basthi Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,8000,Hyderabad,2021-12-02,2021-02-14,,,3.8,19 ,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
7,Hyderabad Marriott Hotel & Convention Centre,Opp Hussain Sagar Lake Tank Bund Rd Hyderabad Andhra Pradesh 500080 India,7200,Hyderabad,2021-12-02,2021-02-14,,,4.6,21 ,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
8,Best Western Ashoka,6170 Lakdikapul Hyderabad Andhra Pradesh 500004 India,5211,Hyderabad,2021-12-02,2021-02-14,,,1.7,18 ,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no
9,Hyatt Place Hyderabad Banjara Hills,Banjara Hills Road 1 Hyderabad Telangana 500034 India,7330,Hyderabad,2021-12-02,2021-02-14,,,3.0,19 ,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no
